feature,mean_abs_shap
merchant_txn_count,7.919393
amount,1.0031375
customer_pagerank,0.8196738
merchant_degree,0.5692247
gender_F,0.4522015
gender_M,0.4188286
age,0.17231587
customer_degree,0.15685143
customer_txn_count,0.14262667
amount_deviation,0.10727674
category_es_wellnessandbeauty,0.083086446
category_es_sportsandtoys,0.0477155
category_es_tech,0.02567295
category_es_fashion,0.019312244
category_es_health,0.017317014
category_es_otherservices,0.01458662
category_es_travel,0.012933351
category_es_hyper,0.012050223
category_es_leisure,0.008303013
category_es_hotelservices,0.008010044
category_es_home,0.005319652
category_es_contents,0.0037214484
gender_U,0.0
category_es_food,0.0
category_es_transportation,0.0
